id	title	description	availability	condition	price	link	image_link	quantity_to_sell_on_facebook	brand	isv	net_price
A78192	"Mochila stitch 17  full print"	"Mochila stitch 17  full print"	"in stock"	new	463.00	https://acosa.com.hn/product/mochila-stitch-17-full-print-2	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-B386.webp	13	Disney	1.15	402.61
A78195	"Mochila mini stitch 12"	"Mochila mini stitch 12"	"in stock"	new	463.00	https://acosa.com.hn/product/mochila-mini-stitch-12	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-B371.webp	57	Disney	1.15	402.61
A78193	"Mochila stitch 17  full print"	"Mochila stitch 17  full print"	"in stock"	new	463.00	https://acosa.com.hn/product/mochila-stitch-17-full-print-3	https://acosa.com.hn/wp-content/uploads/2024/12/DF-STI-B388.webp	3	Disney	1.15	402.61
A78213	"Termo plastico 750ml star wars"	"Termo plastico 750ml star wars"	"in stock"	new	124.00	https://acosa.com.hn/product/termo-plastico-750ml-star-wars	https://acosa.com.hn/wp-content/uploads/2024/12/LH-SW-B925A.webp	196	Disney	1.15	107.83
A78214	"Termo plastico 450ml cars"	"Termo plastico 450ml cars"	"in stock"	new	146.00	https://acosa.com.hn/product/termo-plastico-450ml-cars-2	https://acosa.com.hn/wp-content/uploads/2024/12/AH-C-B427A.webp	105	Disney	1.15	126.96
A78221	"Termo plastico 590ml star wars"	"Termo plastico 590ml star wars"	"in stock"	new	124.00	https://acosa.com.hn/product/termo-plastico-590ml-star-wars	https://acosa.com.hn/wp-content/uploads/2024/12/LH-SW-B532A.webp	150	Disney	1.15	107.83
A78228	"Termo plastico 500ml inside out 2"	"Termo plastico 500ml inside out 2"	"in stock"	new	176.00	https://acosa.com.hn/product/termo-plastico-500ml-inside-out-2	https://acosa.com.hn/wp-content/uploads/2024/12/DT-IO-B7550A.webp	39	Disney	1.15	153.04
A78209	"Termo plastico 480ml star wars"	"Termo plastico 480ml star wars"	"in stock"	new	124.00	https://acosa.com.hn/product/termo-plastico-480ml-star-wars	https://acosa.com.hn/wp-content/uploads/2024/12/LH-SW-B716A.webp	133	Disney	1.15	107.83
A78210	"Termo plastico 750ml princesas"	"Termo plastico 750ml princesas"	"in stock"	new	124.00	https://acosa.com.hn/product/termo-plastico-750ml-princesas	https://acosa.com.hn/wp-content/uploads/2024/12/PH-PR-B925A.webp	32	Disney	1.15	107.83
A78215	"Termo plastico 450ml star wars"	"Termo plastico 450ml star wars"	"in stock"	new	146.00	https://acosa.com.hn/product/termo-plastico-450ml-star-wars	https://acosa.com.hn/wp-content/uploads/2024/12/LH-SW-B427A.webp	110	Disney	1.15	126.96
A78222	"Termo plastico 500ml star wars"	"Termo plastico 500ml star wars"	"in stock"	new	88.00	https://acosa.com.hn/product/termo-plastico-500ml-star-wars	https://acosa.com.hn/wp-content/uploads/2024/12/LH-SW-B4093A.webp	162	Disney	1.15	76.52
A78223	"Termo plastico 720ml stitch"	"Termo plastico 720ml stitch"	"in stock"	new	220.00	https://acosa.com.hn/product/termo-plastico-720ml-stitch	https://acosa.com.hn/wp-content/uploads/2024/12/DH-STI-AB199.webp	14	Disney	1.15	191.3
